date,product_name,Local shop price
2025-06-17,Papaya,80
2025-09-23,Red Onion B,130
2025-05-24,Papaya,80
2025-04-24,Chilly Green,150
2025-05-04,Potatoes,50
2025-08-16,Broccoli,220
2025-10-03,Tomato A,100
2025-08-29,White Cabbage,45
2025-07-19,Mango,100
2025-08-02,Beetroot,55
2025-08-18,Avocado,100
2025-05-21,Valencia Orange,250
2025-04-11,Garlic,340
2025-10-14,Apple,580
2025-07-13,Broccoli,260
2025-08-24,Red Onion Elfora,95
2025-07-11,Potato,50
2025-08-06,Strawberry,200
2025-05-10,Strawberry,200
2025-10-10,Corn,400
2025-07-13,Eggplant,180
2025-08-17,Potato,50
2025-09-26,Banana,85
2025-06-13,Red Onion Grade C,90
2025-04-15,Strawberry,200
2025-10-01,Chili Green,180
2025-04-20,White Cabbage,50
2025-10-20,Mango Apple,240
2025-06-02,Potatoes,50
2025-04-09,Apple Mango,200
2025-09-16,Sweet Potato,80
2025-05-16,Tomatoes Grade B,35
2025-06-08,Apple Mango,240
2025-06-08,Potatoes,50
2025-04-12,White Cabbage,50
2025-09-28,Ginger,220
2025-08-23,Beetroot,55
2025-08-27,Broccoli,180
2025-09-23,Mango Apple,250
2025-09-15,Tomato A,90
2025-09-06,Red Onion A,110
2025-07-04,Corn,35
2025-10-10,Carrot,90
2025-04-07,Salad,130
2025-09-24,Carrot,100
2025-04-29,Chilly Green (Elfora),200
2025-07-09,Mango,65
2025-06-18,Potatoes,45
2025-09-17,Tomato B,70
2025-04-21,Strawberry,200
2025-08-18,Corn,40
2025-06-06,Tomatoes Grade B,30
2025-10-07,Mango Apple,250
2025-05-12,Papaya,80
2025-10-12,Eggplant,140
2025-10-09,Potato,30
2025-09-20,Garlic,350
2025-07-28,Pineapple,120
2025-10-25,Apple,470
2025-07-15,Chili Green,160
2025-09-15,Corn,40
2025-07-05,Eggplant,130
2025-05-19,Beet root,50
2025-07-11,White Cabbage,45
2025-10-05,Ginger,200
2025-06-03,Apple,450
2025-06-07,Chilly Green (Elfora),190
2025-05-31,Potatoes,50
2025-05-19,Apple Mango,230
2025-04-23,Strawberry,170
2025-05-10,Chilly Green,160
2025-09-15,Garlic,350
2025-10-19,Chili Green,150
2025-10-01,Beetroot,60
2025-04-22,Apple,400
2025-10-03,Green chili starta,160
2025-05-23,Ginger,160
2025-06-04,Strawberry,200
2025-06-06,Carrot,65
2025-08-26,Broccoli,170
2025-05-03,Ginger,200
2025-07-25,Salad,130
2025-06-11,Potatoes,55
2025-06-03,Chilly Green,100
2025-07-25,Corn,35
2025-05-11,Avocado,80
2025-07-23,Garlic,380
2025-05-08,Potatoes,55
2025-08-07,Broccoli,160
2025-10-16,Orange,200
2025-09-08,Salad,170
2025-10-14,Avocado,90
2025-08-18,Papaya,150
2025-09-10,Mango Apple,200
2025-09-06,Beetroot,60
2025-07-21,Broccoli,120
2025-05-24,Red Onion Elfora,60
2025-04-10,Red Onion A,60
2025-05-17,Red Onion Grade C,60
2025-10-08,Ginger,220
2025-08-29,White Cabbage,35
2025-09-16,Pineapple,100
2025-05-07,Chilly Green,160
2025-09-21,Sweet Potato,90
2025-10-08,Green Beans,80
2025-04-08,Potatoes,50
2025-08-23,Zucchini,100
2025-06-04,Beet root,60
2025-05-12,Red Onion Grade B,60
2025-10-12,Red Onion B,80
2025-10-20,Apple,580
2025-06-05,Chilly Green (Elfora),190
2025-08-05,Carrot,100
2025-07-10,Red Onion Elfora,80
2025-06-02,Green Beans,120
2025-09-15,White Cabbage,30
2025-08-21,Carrot,100
2025-09-18,Red Onion Elfora,130
