week_start,total_volume_kg,sgl_volume_kg,sgl_volume_ratio_to_total
2025-03-30,46292,127,0.002743454592586192
2025-04-06,75616,892,0.01179644519678375
2025-04-13,46014,1167,0.025361846394575564
2025-04-20,59210,331,0.00559027191352812
2025-04-27,48228,574,0.011901799784357634
2025-05-04,63894,1418,0.0221930071681222
2025-05-11,67765,2836,0.04185051280159374
2025-05-18,78818,3122,0.03961024131543556
2025-05-25,63079,1515,0.024017501862743543
2025-06-01,59493,3049,0.05124972685862202
2025-06-08,69443,3956,0.05696758492576646
2025-06-15,64675,4074,0.06299188248936993
2025-06-22,76166,4969,0.06523908305543155
2025-06-29,74685,7988,0.10695588136841401
2025-07-06,71828,10197,0.14196413654842122
2025-07-13,70717,10931,0.15457386484155153
2025-07-20,78697,10763,0.13676506092989568
2025-07-27,73415,10486,0.14283184635292515
2025-08-03,64538,10526,0.16309770987635192
2025-08-10,65591,6633,0.10112667896510191
2025-08-17,61118,9933,0.16252167937432507
2025-08-24,130783,24471,0.18711147473295459
2025-08-31,84951,20065,0.23619498299019434
2025-09-07,52937,16022,0.3026616544194042
2025-09-14,88283,27492,0.3114076322734841
2025-09-21,81443,26964,0.3310781773755878
2025-09-28,86733,25196,0.29050073213194516
2025-10-05,89646,24596,0.2743680699640809
2025-10-12,66921,16343,0.24421332616069694
2025-10-19,72464,19803,0.2732805255023184
2025-10-26,48684,14187,0.2914099087996056
2025-11-02,36619,9420,0.25724350746880037
