group_deal_category,group_created_by,delivery_coordinates,delivery_location_name,unique_group_members,total_groups,monday_orders,tuesday_orders,wednesday_orders,thursday_orders,friday_orders,saturday_orders,sunday_orders,active_days,total_orders
NORMAL_GROUPS,54e27242-7126-4928-b385-d0021491d69f,POINT(38.801288 9.016723),"Lancet Specialized internal Medicine and Surgical Center | Megenagna |, አዲስ አበባ, ኢትዮጵያ",47,40,7,9,35,31,49,22,14,17,149
NORMAL_GROUPS,cc3e4231-d9a3-47e4-81c6-01b136d50b03,POINT(38.801288 9.016723),"Lancet Specialized internal Medicine and Surgical Center | Megenagna |, አዲስ አበባ, ኢትዮጵያ",46,47,30,39,52,34,15,30,16,17,201
NORMAL_GROUPS,a01833a0-1631-4178-8429-989d2254e1fd,POINT(38.801288 9.016723),"Lancet Specialized internal Medicine and Surgical Center | Megenagna |, Addis Ababa, Ethiopia",38,15,31,6,26,0,0,23,8,6,94
NORMAL_GROUPS,1a332eee-3674-4874-9245-7c723970a8c1,POINT(38.802528 9.015577),Ring Road,34,21,17,7,0,1,30,9,60,10,84
NORMAL_GROUPS,29eae22f-c78a-4ffa-96e4-e6db207ff006,POINT(38.802205 9.015196),የፌደራል ዳኞች አፓርትመንት,34,41,19,17,33,15,83,24,47,18,201
NORMAL_GROUPS,9c7bb796-4b21-4bcf-9f04-f2bf26510eba,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",33,11,0,10,12,7,11,15,6,11,56
NORMAL_GROUPS,959aed26-50fd-4fcf-9866-e54bb5a2da1f,POINT(38.801288 9.016723),Lancet Specialized internal Medicine and Surgical Center | Megenagna |,31,13,0,0,1,29,5,35,14,7,74
NORMAL_GROUPS,6f79339c-a863-4518-bd97-81d2e9816633,POINT(38.801288 9.016723),"Lancet Specialized internal Medicine and Surgical Center | Megenagna |, Addis Ababa, Ethiopia",30,11,8,5,0,7,9,6,41,6,70
NORMAL_GROUPS,d3e0b82a-c1be-4e5a-ac1d-3ac7cf3d86c3,POINT(38.801288 9.016723),Unknown,29,22,0,4,22,6,21,34,8,8,95
NORMAL_GROUPS,f8a55255-8b95-423a-93f2-3ad238b2f137,POINT(38.802765 9.014921),Ring Road,28,17,73,21,16,0,0,0,0,4,104
NORMAL_GROUPS,ab886df3-dc8e-4997-b552-0f3425f78468,POINT(38.802479 9.014888),Eskedar & fikadu building construction,27,15,0,0,32,16,22,6,10,6,86
NORMAL_GROUPS,4d767f50-b985-4391-a6c0-d6cfc9440ae2,POINT(38.780139 8.900683),"Kality Genet Menafesha Condomunium, አዲስ አበባ, ኢትዮጵያ",26,12,6,10,7,11,11,0,8,9,53
NORMAL_GROUPS,9e0d136d-ed45-4229-a019-a8c1d3ebc570,POINT(38.802205 9.015196),የፌደራል ዳኞች አፓርትመንት,26,11,0,17,17,7,11,1,15,10,63
NORMAL_GROUPS,524cd254-b909-4dcc-89dd-9ce21c08db80,POINT(38.814317 8.995563),Kadisco  general hospita,26,10,21,5,6,34,5,0,0,7,62
NORMAL_GROUPS,38c083fe-da4b-4f77-b7f2-f1ff5c6667b2,POINT(38.868909 9.066128),Abado Health Center,26,29,33,17,56,0,49,25,6,14,166
NORMAL_GROUPS,767d9ba7-bec4-4f72-877d-39cc0284828b,POINT(38.802257 9.015611),Ring Road,25,15,10,44,0,10,40,26,2,9,65
NORMAL_GROUPS,80c0f2fa-4365-49e1-8d51-b142a0969e45,POINT(38.837350 9.008828),"Figa Area | ፊጋ አካባቢ, አዲስ አበባ, ኢትዮጵያ",24,18,0,25,21,20,17,6,0,8,84
NORMAL_GROUPS,b362910a-6ad7-4d8c-b604-d1aca33c0f3c,POINT(38.868737 9.066447),Abado Ena Tafou 20/21,23,21,9,0,19,6,12,38,14,6,77
NORMAL_GROUPS,8d2de5e4-29cf-4493-bbc7-d4905cb4e0ca,POINT(38.706378 8.993081),"Addis Hiwot Primery school, 01, 05, Addis Ababa, Ethiopia",23,19,26,10,10,48,6,68,80,8,104
NORMAL_GROUPS,6dd4c20e-5080-4883-9a12-a6f9eab05035,POINT(38.822977 8.915185),"Koye feche project 16// ኮዬ ፈጬ የጋራ መኖርያ መንደር 16, koye, 16, Koye, ኢትዮጵያ",23,47,17,59,30,11,50,16,6,19,175
NORMAL_GROUPS,5019ebae-4c0f-406c-9f11-6a439b5bd7ba,POINT(38.727579 8.996601),"International Community School of Addis Ababa | Karl Square | ኢንተርናሽናል ኮምዩኒቲ ት/ቤት | ካርል አደባባይ, Mauritania Street, አዲስ አበባ, ኢትዮጵያ",23,35,9,32,46,24,26,12,0,11,142
NORMAL_GROUPS,cc3f22b4-6976-4e54-a7bf-cd4fda17df61,POINT(38.801288 9.016723),"Lancet Specialized internal Medicine and Surgical Center | Megenagna |, Addis Ababa, Ethiopia",22,13,0,1,20,18,15,10,2,7,55
NORMAL_GROUPS,6cf3b75f-19ef-44ed-945d-4d2132085938,POINT(38.802526 9.014857),Ring Road,22,8,20,0,8,13,10,0,0,4,41
NORMAL_GROUPS,f6d904d8-8c6a-43e6-89c8-848c2352f0de,POINT(38.882744 8.959587),Bole Arabesa site 5 block 919,22,30,7,0,34,24,15,18,30,15,115
NORMAL_GROUPS,353b315e-f0b7-4e52-b890-3daa1f11c6c4,POINT(38.751303 9.014840),"Awash bank Head Quarter, አዲስ አበባ, ኢትዮጵያ",22,14,2,3,42,20,13,17,0,11,97
NORMAL_GROUPS,2b9b3368-4c04-4e24-bbcd-d80718f53845,POINT(38.731503 8.998063),Karl Ethio telecom Parking,21,23,26,12,59,28,0,12,0,10,127
NORMAL_GROUPS,9187ac80-4fa9-496c-8e8c-b0c716855746,POINT(38.737504 9.030336),"Merkato adarashi(መርካቶ አዳራሽ), አዲስ አበባ, ኢትዮጵያ",21,10,0,30,20,19,0,0,0,4,69
NORMAL_GROUPS,f9501a13-0d7e-44f3-bcad-85a60c419397,POINT(38.695249 8.983527),"Ayer Tena Secondary School | አየር ጤና ሁለተኛ ደረጃ ት/ቤት, አዲስ አበባ, ኢትዮጵያ",21,45,4,15,45,6,29,20,51,16,158
NORMAL_GROUPS,96135f08-3832-4e38-94a7-68c36595a7c4,POINT(38.873044 9.057041),Abado Ena Tafou 20/21,20,14,7,16,10,0,18,0,0,6,46
NORMAL_GROUPS,3ea8a945-36a4-403b-8a76-162e7aa1ca5c,POINT(38.800321 9.011183),Yaliteseyeme Menigedi,19,19,0,9,11,0,28,44,12,7,48
NORMAL_GROUPS,e265bb9a-f076-4fe9-b97b-a035634f0f8c,POINT(38.713806 8.961938),ያልተሰየመ መንገድ,19,15,14,35,23,7,14,0,2,11,87
NORMAL_GROUPS,ff53641d-792b-47c7-9372-77eb43a0813b,POINT(38.716648 9.026035),"ዳግም ህዳሴ ጤና-ጣቢያ, Unnamed Road, አዲስ አበባ, ኢትዮጵያ",19,9,7,0,11,0,31,0,0,5,49
NORMAL_GROUPS,3700c27f-e832-44c2-95b2-0829a24889c1,POINT(38.873416 9.057052),"ለሚ ኩራ ወረዳ 14 ህዳሴ ጤና ጣቢያ Hidase Health Center Lemi kura wereda 14, አዲስ አበባ, ኢትዮጵያ",19,13,10,20,15,0,31,0,0,6,76
