Date,Type,Gregorian Month,Gregorian Day,Ethiopian Month,Notes
2024-01-08,ethiopian,1,8,Tahsas,
2024-01-28,western,1,28,,
2024-02-08,ethiopian,2,8,Yekatit,
2024-02-28,western,2,28,,
2024-03-08,ethiopian,3,8,Yekatit,
2024-03-28,western,3,28,,
2024-04-08,ethiopian,4,8,Miazia,
2024-04-28,western,4,28,,
2024-05-08,ethiopian,5,8,Ginbot,
2024-05-28,western,5,28,,
2024-06-08,ethiopian,6,8,Sene,
2024-06-28,western,6,28,,
2024-07-08,ethiopian,7,8,Hamle,
2024-07-28,western,7,28,,
2024-08-08,ethiopian,8,8,Nehase,
2024-08-28,western,8,28,,
2024-09-08,ethiopian,9,8,Pagume,
2024-09-28,western,9,28,,
2024-10-08,ethiopian,10,8,Meskerem,
2024-10-28,western,10,28,,
2024-11-08,ethiopian,11,8,Tikimt,
2024-11-28,western,11,28,,
2024-12-08,ethiopian,12,8,Hidar,
2024-12-28,western,12,28,,
2025-01-08,ethiopian,1,8,Tahsas,
2025-01-28,western,1,28,,
2025-02-08,ethiopian,2,8,Yekatit,
2025-02-28,western,2,28,,
2025-03-08,ethiopian,3,8,Yekatit,
2025-03-28,western,3,28,,
2025-04-08,ethiopian,4,8,Megabit,
2025-04-28,western,4,28,,
2025-05-08,ethiopian,5,8,Miazia,
2025-05-28,western,5,28,,
2025-06-08,ethiopian,6,8,Sene,
2025-06-28,western,6,28,,
2025-07-08,ethiopian,7,8,Hamle,
2025-07-28,western,7,28,,
2025-08-08,ethiopian,8,8,Nehase,
2025-08-28,western,8,28,,
2025-09-08,ethiopian,9,8,Pagume,
2025-09-28,western,9,28,,
2025-10-08,ethiopian,10,8,Meskerem,
2025-10-28,western,10,28,,
2025-11-08,ethiopian,11,8,Tikimt,
2025-11-28,western,11,28,,
2025-12-08,ethiopian,12,8,Hidar,
2025-12-28,western,12,28,,
